Input;Output
Он  считают  это  бюрократической  формальностью  или  просто,  способ  лучше  выжить   в  условиях  экономического  кризиса.  без  сомнения,  из-за  нестабильности,  которая  характеризует  сегодняшнее  общество  и  рынок  труда,  молодым  людям  трудно  составить  планы  на  будущее.;Ошибка: способ. Нужно использовать: творительный падеж. Правильно: способом
"Одна  из  таких  кино- картин  является,  по  моему  мнению, &quot; Мастер  и  Маргарита&quot;  Владимира  Бортко 2005  года  по  одноимённому  роману  Михаила  Булгакова.";Ошибка: Одна. Нужно использовать: творительный падеж. Правильно: Одной
"Он встал, чтобы пойти за нею, чья-то рука вдруг оказалась в его руке; он схватил эту руку, крепко сжал и проснулся. ";Предложение правильное.
Он  был  ревнивым  из-за  того  что  его  девушка  активно  разговаривала  с  Джон  и  оставела  его  один  сбоку.;Ошибка: Джон. Нужно использовать: творительный падеж. Правильно: Джоном
Сосед между тем помазал блины икрой, разрезал все их на половинки и проглотил скорее, чем в пять минут;Предложение правильное.
Проблема видимость», или визибли» Визибилити меньшинства любого): что это такое;Ошибка: видимость. Нужно использовать: родительный падеж. Правильно: видимости
Я  благодаря  этой  программой  я  смог  делать  очень  красивые  и  интересные  сайты.;Ошибка: программой. Нужно использовать: дательный падеж. Правильно: программе
Давайте начинаем с этими вопросами, а потом я расскажу о некоторых вещах, которые будут удивлять и совершенно убеждать вас поступать в эту кафедру по конфликтологии.;Ошибка: этими вопросами. Нужно использовать: родительный падеж. Правильно: c этих вопросов
Они не вспоминают о прошлого и не заботятся о будущем .;Ошибка: прошлого. Нужно использовать: предложный падеж. Правильно: прошлом
Мы говорим в россию , что книга  это лучший подарок .;Ошибка: россию. Нужно использовать: предложный падеж. Правильно: России
Критики предмета утверждают, что он на самом деле не поддерживает образовательные цели и не учит понимание мультикультурализма.;Ошибка: понимание. Нужно использовать: дательный падеж. Правильно:  пониманию
Потом  он  чал,  начал  искать  их,  им  с  его  друзей,  друзин.;Ошибка: друзей. Нужно использовать: творительный падеж. Правильно: друзьями
И как это влияет на экологическую дружелюбную экономическую развитию.;Ошибка: развитию. Нужно использовать: винительный падеж. Правильно: развитие
Не могу, совсем не могу. ;Предложение правильное.
Когда через минуту он вошёл в гостиную, лицо его было совершенно спокойно.;Предложение правильное.
Он  был  монах  Русской  церкви  и  основатель  Троицкого  монастыря  под  Москвой.;Ошибка: основатель. Нужно использовать: творительный падеж. Правильно: основателем
 Нет,  сказала Кити дрожащим от слёз голосом. ;Предложение правильное.
Придя   домой   с  радостью   начала  с   строительством  кровати   и   после   часа  три  в   конце   концов  закончила.;Ошибка: строительством. Нужно использовать: винительный падеж. Правильно: строительство
Может быть , в вашу стране или в вашем городе есть его граффити .;Ошибка: вашу. Нужно использовать: предложный падеж. Правильно: вашей
 а в его комнату мы поместим Софочку. ;Предложение правильное.
Кроме Белоконской, ожидали ещё несколько высоких гостей.;Предложение правильное.
За углом исполкомовского дома они остановились;Предложение правильное.
Потому  что  Саша  живёт  один,  ему  нужно  покупать  еду  сам  каждый  день.;Ошибка: сам. Нужно использовать: дательный падеж. Правильно: самому
Похоже,  что  она  встала  в  какой-либо  очередь,  и  кажется  что  очередь  за  еду,  но  ей  не  удается  получить  ничего,  потому  что  она  опоздала.;Ошибка: еду. Нужно использовать: творительный падеж. Правильно: едой
Это ты меня отговорил ;Предложение правильное.
Вот  поэтому  каждой  женщине  не  только  женщине  но  и  каждый  человек  должен  постараться  чтобы  было  легко  жить  и  жить  в  уюте.;Ошибка: женщине. Нужно использовать: именительный падеж. Правильно: женщина
Тогда он внимательно посмотрел на неё и вдруг обнял её и поцеловал в губы, и сразу же он со страхом посмотрел: не видел ли кто ;Предложение правильное.
Я не знаю , к сожаление или к счастью , но в Барселоне зимой нет снега .;Ошибка: сожаление. Нужно использовать: дательный падеж. Правильно: сожалению
И я от страха проснулась… но я проснулась во сне. ;Предложение правильное.
Девушка посмотрела в чистые глаза генерала и поняла: то, что он был ранен семь раз  правда, а то, что взял деньги  неправда. ;Предложение правильное.
Если  я  учиться  на  онлайн- обучение,  я  могу  экономить  два  часа  в  дне.;Ошибка: дне. Нужно использовать: винительный падеж. Правильно: день
Я верю моей жене» ;Предложение правильное.
Тройка, ceмёрка, туз  не выходили из его головы и двигали его губами. ;Предложение правильное.
Если бы, любя женщину более всего на свете, вдруг увидеть её на цепи, за железной решёткой,  то такое впечатление было бы похоже с тем, что почувствовал теперь князь;Предложение правильное.
Сначала лектор говорит о трёх ступени обучения.;Ошибка: ступени. Нужно использовать: предложный падеж. Правильно: ступенях
Моя  любимая  еда  Мне  нравиться  кортошко  и  говятино.;Ошибка: говятино. Нужно использовать: именительный падеж. Правильно: говядина
Путешествовать  легко  так  как  много  прямых  рейсов  и  в  Алматы  есть  много  мест  для  проведение  выходных.;Ошибка: проведение. Нужно использовать: родительный падеж. Правильно: проведения
Когда  я  всё  обставлю,  я  приглашу  тебе  в  гости;Ошибка: тебе. Нужно использовать: винительный падеж. Правильно: тебя
Ведь  ничего  не  прикроет  вашу  болезень.;Ошибка: ничего. Нужно использовать: именительный падеж. Правильно: ничто
 Я много ем ;Предложение правильное.
Следующей идёт описание форму протеста – не классическую», а, как автор пишит, называемую оккупация».;Ошибка: называемую. Нужно использовать: творительный падеж. Правильно: называемой
Также, в этой группа стихотворении есть тема имериция против человека, особенно против человека, который является художником.;Ошибка: группа. Нужно использовать: предложный падеж. Правильно: группе
чехова лечил больных , даже когда уже был известным писателем .;Ошибка: чехова. Нужно использовать: именительный падеж. Правильно: Чехов
Скажу, что люблю другого ;Предложение правильное.
Поздно вечером, когда они остались одни, Анна сказала:  Скажи, тебе неприятно было получить письмо и ты не поверил мне ;Предложение правильное.
У них не было ясное решение, но по их мнению, можно использовать другие источники электроэнергии.;Ошибка: ясное. Нужно использовать: родительный падеж. Правильно: ясного
Бежали, сами не зная куда. ;Предложение правильное.
Норвегия  в  общем  лучше  чем  большинство  страны  в  отношении  к  принятие  и  попробуются  интеграции  иммигрантов,  но  это  важный  вопрос  в  многих  странах  первого  мира  и  это  вопрос  нам  надо  найти  решение  скоро.;Ошибка: принятие. Нужно использовать: дательный падеж. Правильно: принятию
А вас, дамы, прошу его угостить, потому что он, кажется, и голоден;Предложение правильное.
Я думаю , рецептами ей понравятся .;Ошибка: рецептами. Нужно использовать: именительный падеж. Правильно: рецепты
Хотя  я  использовалась  другие  рабочие  инструменты,  например  финский  нож,  ножовка  и  серпи,  я  никогда  не  поранила  себя.;Ошибка: ножовка. Нужно использовать: винительный падеж. Правильно: ножовку
Но, как он говорил ей, чем больше он ничего не делал, тем меньше у него оставалось времени. ;Предложение правильное.
Она показывает, что человек, ситуация или заявление является не таком, как казалось.;Ошибка: таком. Нужно использовать: творительный падеж. Правильно: таким
Эти поступки выли жестокие и ужасные: изымали церковное имущество, и ничего не делали против смертельные нападении на духовенство.;Ошибка: нападении. Нужно использовать: родительный падеж. Правильно: нападений
Вы слышали о графе Сен-Жермене, о котором рассказывают так много чудесного. ;Предложение правильное.
Это значит , мы используем этим падеж , чтобы рассказать о том , чего у нас нет .;Ошибка: этим. Нужно использовать: винительный падеж. Правильно: этот
Фандорин побежал к двери: «Открою дверь и просну-сь. ;Предложение правильное.
Я  родился  и  рос  в  небогатой  семье  в  маленьком  деревне, у  меня  один  старший  брат,  в 1996  году  он  поступил  в  техническую  школу  в  другой  город, потому  что  обучение  дорого, мой  отец  решил  выезжать  за  границу  и  зарабатывать  деньги. У  моего  отца  был  один  друг, который  работал  бизнесменом  в  Москве, когда  он  возвращался  в  деревне, он  часто  встречался  с  моим  отцом, однажды  он  подарил  мне  один  пакет  кофе, я  даже  не  знаю, что  такой  кофе,  но  мне  очень  нравился  пить  этот  российский  кофе, я  не  могу  вспомнить, что  они  сказали, но  после  несколько  месяцев  мой  отец  с  его  друзьями  поехал  в  Москву  на  поезд. Это  моё  первое  впечатление  о  России.;Ошибка: поезд. Нужно использовать: предложный падеж. Правильно: поезде
Ничего во мне нет хорошего, кроме этой любви к вам, и если бы не вы, то я бы давно уже не жил на свете... ;Предложение правильное.
Но мы знаем, что этого не произошло. ;Предложение правильное.
Но после гимназию Чехов решил поступить в Московский университет на медицинский факультет .;Ошибка: гимназию. Нужно использовать: родительный падеж. Правильно: гимназии
"Меня  больше  привлекает  уровень  науки  и  образования  в  России,  который  имеет  много  международных	 В  известных  университетах,  в  которых  я  учусь,  есть  передовые  образовательные  идеи  и  полная  учебная  база,  что  делает  их  лучшим  выбором  для  дальнейшего  обучения.";Ошибка: университетах. Нужно использовать: родительный падеж. Правильно: университетов
Конечно , и сейчас есть людей , которые любят лошадей и проводят с ними много времени .;Ошибка: людей. Нужно использовать: именительный падеж. Правильно: люди
Мы осознаем, что в этом регионе многие беспокоятся о потенциальном угрозе повторении Чернобыльской катастрофы, но от имени президента я хочу сказать, что для всех нас угроза глобального потепления намного хуже и более реальна.;Ошибка: повторении. Нужно использовать: родительный падеж. Правильно: повторения
Сначала кричала на бедного Петю, а потом плакала. ;Предложение правильное.
Лучше быть узким специалистом или специалистом широкого профиля Мне кажется, что лучше быть специалистом в какой-либо узкой области, потому что тогда ты знаешь все о каком-либо предмете, в то время как если ты специалист во всем ты знаешь много разных предметах, но не детально, а как бы поверхностно.;Ошибка: предметах. Нужно использовать: родительный падеж. Правильно: предметов
Отчего же мы так возмущаемся, когда газеты приносят известие о каком-нибудь убийстве, когда жертвами являются несколько человек ;Предложение правильное.
 со злобой сказала она себе. ;Предложение правильное.
Эта жизнь проклятая, невыноси мая... ;Предложение правильное.
 Я не преступник,  обиделся Урбенин.  Говорите осторожнее…  Замолчите ;Предложение правильное.
Вернувшись в Москву, он с гордостью объявил жене, что всё приготовлено, что дом будет игрушечка и что он ей очень советует ехать. ;Предложение правильное.
Этот солдат так сильно верит в силе любви, которую он со своей женой чувствуют друг к другу, что его надежда вернуться домой преодолевает даже страх пулей.;Ошибка: пулей. Нужно использовать: родительный падеж. Правильно: пуль
С  этой  же  точки  у  государство  есть  свои  слабые  стороны.;Ошибка: государство. Нужно использовать: родительный падеж. Правильно: государства
У меня же есть кота ;Ошибка: кота. Нужно использовать: именительный падеж. Правильно: кот
Я  был  на  самолет  в  россию.  в  россии  много  церквей.;Ошибка: самолет. Нужно использовать: винительный падеж. Правильно: самолёте
Когда я читала его у меня он вызывал много чуствах.;Ошибка: чуствах. Нужно использовать: родительный падеж. Правильно: чувств
один раз Эйнштейн ехал в трамвай .;Ошибка: трамвай. Нужно использовать: предложный падеж. Правильно: трамвае
Что за смысл был в её словах и мелодиях;Ошибка: словах. Нужно использовать: винительный падеж. Правильно: слова
Я  не  хочу  так  просто  сдатся,  хочу  достичь  своей  целью.;Ошибка: целью. Нужно использовать: родительный падеж. Правильно: цели
Мы  тоже  стараемся  учиться  на  грант,  чтобы  им  было  легче.;Ошибка: грант. Нужно использовать: предложный падеж. Правильно: гранте
чемпионов мира по шахматам были не только мужчины , но и женщины .;Ошибка: чемпионов. Нужно использовать: творительный падеж. Правильно: Чемпионами
В прошлом году вышел документальный фильм посвещен на эту историю.;Ошибка: посвещен на эту историю. Нужно использовать: дательный падеж. Правильно: посвященный этой истории
А  потом  захожу  на  уроках.;Ошибка: уроках. Нужно использовать: винительный падеж. Правильно: уроки
Только потом начал смотреть документы;Предложение правильное.
 То, о чём вы сейчас говорили, была ошибка, а не любовь.  Я просила вас не произносить это ужасное слово,  сказала Анна.  Сегодня я нарочно приехала, зная, что вас встречу. ;Предложение правильное.
Некоторые из Вас привели примеры, наиболее популярные из которых были выходцы из Средней Азии.;Ошибка: выходцы. Нужно использовать: предложный падеж. Правильно: о выходцах
 Сто двадцать рублей, позади. ;Предложение правильное.
Я знал, что ему ничего не будет. ;Предложение правильное.
Сказав это, князь прочитал это письмо почти слово в слово, как оно было;Предложение правильное.
Профессионвльные  гильды  сушествуют  до  сегодняшного  дня -  только   что   сегодня   члены   гильдий   уже   не   занимаются  этим   профессиям.;Ошибка: профессиям. Нужно использовать: творительный падеж. Правильно: профессиями
И в одну из этих минут, когда солнце близко и огненно блеснуло ему в глаза, Юрий Михайлович громко и странно выговорил то, что ещё в снах ночных волнующих, в образе милых лиц и милых глаз осозналось душою как необыкновенное счастье:  Нет ;Предложение правильное.
 Понравиться, что ли;Предложение правильное.
Все  можно  научиться,  в  том  числе  и  приготовлению  еду..;Ошибка: еду. Нужно использовать: родительный падеж. Правильно: еды
У меня хорошую жизнь , я хожу с Кристианом гулять в парк , смотрю с ним телевизор , он часто разговаривает со мной , но я не всегда понимаю его .;Ошибка: хорошую. Нужно использовать: именительный падеж. Правильно: хорошая
Это три,  сказал Фандорин. ;Предложение правильное.
Но Настенька не смотрела на луну, она стояла и молчала, через минуту она стала как-то робко, близко прижиматься ко мне.;Предложение правильное.
В октябре были дворянские выборы в Кашинской губернии, где были имения Вронского, Кознышева, Облонского и маленькая часть Левина. ;Предложение правильное.
или те люди должны быт уничтожены из-за их слабости и недостатки.;Ошибка: недостатки. Нужно использовать: родительный падеж. Правильно: недостатков
Князь был вне себя.  Павлищев... перешёл в католицизм ;Предложение правильное.
Я  знаю,  что  могу  полностью  доверять  на  бабушку,  она  всегда  постарается   помочь  мне.;Ошибка: на   бабушку. Нужно использовать: дательный падеж. Правильно: бабушке
Два детских голоса послышались за дверьми. ;Предложение правильное.
А теперь побегу на пляж играть в цирк. ;Предложение правильное.
Необязательно  быть  каким-то  профессионалом  в  спорте,  чтобы  получить,  порцию  удовольствие  хватает  и  бега  по  утрам.;Ошибка: удовольствие. Нужно использовать: родительный падеж. Правильно: удовольствия
Я увлекался шахматы ещё в детстве и даже мечтал стать гроссмейстером .;Ошибка: шахматы. Нужно использовать: творительный падеж. Правильно: шахматами
В Москве она останавливалась в «Славянском базаре» и сразу же посылала к Гурову человека в красной шапке. ;Предложение правильное.
бурят могли взять юрту и поехать жить в другое место , а там быстро опять « построить » свой дом  юрту .;Ошибка: бурят. Нужно использовать: именительный падеж. Правильно: Буряты
Мне было жаль его , и я очень переживала , особенно когда смотрела русского сериал .;Ошибка: русского. Нужно использовать: винительный падеж. Правильно: русский
Обычно игроков сидели в аудиториях , между ними были шахматная доска и часы , а вокруг стояли зрители и болельщики .;Ошибка: игроков. Нужно использовать: именительный падеж. Правильно: игроки
Мне  кажется ,  это  по  причине  того , что  у  каждого  языка  есть  свое   происхождение,  специфику  и  каждый  язык  впитывает  себе   характера  того  места  где  родился.;Ошибка: характера. Нужно использовать: винительный падеж. Правильно: характер
 сказал граф.  Мы можем переждать грозу в доме лесничего,  предложил Сергей. ;Предложение правильное.
Я  хочу  рассказать  именно  про  тот  случай  в  Испаний,  которую  моё  бедное  сердце  пережило.;Ошибка: которую. Нужно использовать: именительный падеж. Правильно: который
французский изобретатель и физик Жан Фуко создал предмет, маятник с помощью которого он продемонстрировал пример вращение земли.;Ошибка: вращение. Нужно использовать: родительный падеж. Правильно: вращения
 Ах, Алексей Александрович, ради Бога ;Предложение правильное.
Генерал тогда еле убежал... ;Предложение правильное.
"Присутствовали Афанасий Иванович Тоцкий и Иван Фёдорович Епанчин; Ганя  стоявший в стороне и молчавший. ";Предложение правильное.
Язык – это сила, которая пропитывает все человечексого существования.;Ошибка: существования. Нужно использовать: винительный падеж. Правильно: существование
Я  сдаю  выпускные  экзамены  в  средней  школе,  значит  я  в  стресс,  а  моя  мать  знает  об  этом.;Ошибка: стресс. Нужно использовать: предложный падеж. Правильно: стрессе
Так Фандорин познакомился и поговорил не только с гувернанткой, но и с милой Лизанькой  так он называл уже про себя Елизавету Александровну.;Предложение правильное.
Если  бы  каждый  человек  знал  свой  день  смерти,  то  он  хотел  бы  успеть  всему  и  занимался  бы  любимым  делом.;Ошибка: всему. Нужно использовать: винительный падеж. Правильно: все
В 1900 - 1903 года Россию поразил экономический кризис, который в основном был результатом русско-японской войны.;Ошибка: года. Нужно использовать: предложный падеж. Правильно: годах
Контакт между людьми в России и остальной Европе способствовал культурным сближением с Европой.;Ошибка: Европе. Нужно использовать: творительный падеж. Правильно: Европы
Я думаю, что эти стремления и цели как-то стимулированы советской идеологии то, что осталось от нее) о том, что нужно сильней работать, больше делать, быть более активным и т.;Ошибка: то. Нужно использовать: творительный падеж. Правильно: (тем,
Я  с  этой  цитаты  абсолютно  согласен.;Ошибка: цитаты. Нужно использовать: творительный падеж. Правильно: цитатой
Он проходил остальное время по улицам, всё время посматривая на часы и оглядываясь по сторонам. ;Предложение правильное.
Кто такую актриса ;Ошибка: такую. Нужно использовать: именительный падеж. Правильно: такая
Специальный уполномоченный- человек, избран людям города, который руководит части городских дел.;Ошибка: людям. Нужно использовать: творительный падеж. Правильно: людьми
Кто здоров и богат, у того жена не хороша. ;Предложение правильное.
В  селе  очень  много  тепла,  добрата  и  уважения.;Ошибка: добрата. Нужно использовать: родительный падеж. Правильно: доброты
У автора было объективное отношение статьёй, и это было удивлением мне, потому что, когда Джордж Буш послал 15 тысяч войск на Средний Восток многие было разъярёнными.;Ошибка: статьёй. Нужно использовать: именительный падеж. Правильно: в статье
После реформы Петра Великого, страна стала ближе к европейской культурой.;Ошибка: культурой. Нужно использовать: дательный падеж. Правильно: культуре
"Только улыбка его, при всей её любезности, была что-то уж слишком тонка; взгляд, несмотря на всю весёлость и видимое простодушие его, был что-то уж очень внимательным и изучающим";Предложение правильное.
Есть  также  много  десерты:  тирамису  никогда  не  может  отсутствовать,  это  сладкое,  приготовленное  с  маскарпоне ( мягкий  жирный  сыр)  есть  также  пандоро  и  панеттоне,  они  как  кулич,  но  в  пандоро  нет  бескосточкового  изюма  и  засахаренных  фруктов.;Ошибка: десерты. Нужно использовать: родительный падеж. Правильно: десертов
Левин был недоволен тем, как он вёл своё хозяйство. ;Предложение правильное.
Но почему люди из бедных станах быбрают не учиться школе;Ошибка: станах. Нужно использовать: родительный падеж. Правильно: стран
профессора сказал , что этот мальчик  феномен .;Ошибка: профессора. Нужно использовать: именительный падеж. Правильно: Профессор
Однако он замечает, что председатель банка не в себе, женщины лежат без сознания, поэтому прерывает чтение, кашляет в смущении и наконец тихо говорит: «В таком случае мы после… Мы лучше после…» Делегация уходит. ;Предложение правильное.
Князь позвонил и спросил Настасью Филипповну.;Предложение правильное.
С  первых  минут  ребенок  ищет  маму.;Ошибка: маму. Нужно использовать: предложный падеж. Правильно: маме
Я  была  самой  красивой  на  моем  день  рождении.;Ошибка: рождении. Нужно использовать: родительный падеж. Правильно: рождения
До этого он уже опубликовал много произведения и был известным писателем .;Ошибка: произведения. Нужно использовать: родительный падеж. Правильно: произведений
Почему князь обратил внимание на картину Ганса Гольбейна ;Предложение правильное.
Плюсы  дистанционного  обучение.;Ошибка: обучение. Нужно использовать: родительный падеж. Правильно: обучения
Через  три  неделя  они  переехали  в  Каухайоки,  где  Криста  начала  ходить  в  школу  и  учить  финскому  языку.;Ошибка: неделя. Нужно использовать: родительный падеж. Правильно: недели
Это петербурга .;Ошибка: петербурга. Нужно использовать: именительный падеж. Правильно: Петербург
Сегодня всё утро гулял с гимназистами. ;Предложение правильное.
"Я, правда, не знаю, как бы вам это рассказать, что я чувствую; но мне кажется, вы вот, например... теперь... мне кажется, вы чем-то для меня жертвуете,  прибавила она робко, быстро взглянув на меня";Предложение правильное.
Часто сленг также связан с иронией и является показателю членства какой-то группы.;Ошибка: показателю. Нужно использовать: творительный падеж. Правильно: показателем
Приехав   в   магазин  я   искала   продавец,   который  консультировал   в   покупке   кровати   накануне.;Ошибка: продавец. Нужно использовать: винительный падеж. Правильно: продавца
Волнение его, радость и нежность к своей лошади всё усиливались. ;Предложение правильное.
Я  познакомилась  с  многими  людьми,  которые  были  хорошими  и  плохими,  иностранные,  русские,  учителя  и  т.  д.,  которые  многому  научили  меня,  и  я  всегда  знала,  чтобы  различать  то,  что  было  правильно,  и  то,  что  было  неправильно.;Ошибка: русские. Нужно использовать: творительный падеж. Правильно: русскими
Мне ещё хуже, ещё тяжелее.  Она слышала из другой комнаты голоса сестёр.  И что ж я буду говорить теперь Долли ;Предложение правильное.
Когда вы будете в москву , обязательно пойдите в этот музей .;Ошибка: москву. Нужно использовать: предложный падеж. Правильно: Москве
Бразильское министерство туризма опубликовал следующее предупреждение для туристов – Гостям нашей стране рекомендуется быть внимательным о некоторых потенциально опасных видов животных, которые коренные в Амазонке.;Ошибка: стране. Нужно использовать: родительный падеж. Правильно: страны
- И как долго нужно ждать визой ;Ошибка: визой. Нужно использовать: винительный падеж. Правильно: визу
Он выводит из строя целые шеренги членов профсоюзов и их семей. ;Предложение правильное.
А знаете , на какой транспорте ездят на Чукотке ;Ошибка: какой. Нужно использовать: предложный падеж. Правильно: каком
подругу говорят о книге .;Ошибка: подругу. Нужно использовать: именительный падеж. Правильно: Подруги
Это были эдмунда Хиллари из Новой Зеландии и Тенцинг Норгей из Непала .;Ошибка: эдмунда. Нужно использовать: именительный падеж. Правильно: Эдмунд
«А потому, что я хотела бы спросить у тебя, правда ли, говорят…»  «Что же говорят» ;Предложение правильное.
Варя с Соболевым стояли у окна. ;Предложение правильное.
 спросил Эраст Петрович.  Не знаю. ;Предложение правильное.
Варя поняла: никто из них ей не поможет. ;Предложение правильное.
Что значит выражение декабристы вокруг себя свет зажгли» Свет своих образования и идеалов спасли декабристы от мрака тюрьмы, и они принесли просвещения другим заключенным.;Ошибка: просвещения. Нужно использовать: винительный падеж. Правильно: просвещение
Поэтому только у богатых и сильных есть большой гарем;Предложение правильное.
Если  вы  традиционалистом,  вы  ничего  не  рискует.;Ошибка: ничего. Нужно использовать: творительный падеж. Правильно: ничем
Только я чистый, потому что страх смерти узнал. ;Предложение правильное.
Первый  день  наблюдении  методистами  совпало  с  моим  занятием.  свой  первый  урок  я  неудачно  провела.;Ошибка: методистами. Нужно использовать: родительный падеж. Правильно: методистов
Потому что они такие мирные, я хочу знать, почему русское общество так ненавидели староверах, и есть ли ещё предубеждение о них.;Ошибка: староверах. Нужно использовать: винительный падеж. Правильно: староверов
