Input;Output;part of speech;number
каждым день вам надо ходить в зоопарк или центр , где живут панды .;Ошибка: каждым. Нужно использовать: винительный падеж. Правильно: Каждый;PRON;Sing
На работу вам нужно играть и , главное , обниматься .;Ошибка: работу. Нужно использовать: предложный падеж. Правильно: работе;NOUN;Sing
Чтобы получить этой работу , вы должны очень любить животных , хорошо фотографировать и интересно писать о пандах в социальных сетях .;Ошибка: этой. Нужно использовать: винительный падеж. Правильно: эту;PRON;Sing
слушателя пармезана Кто-то играет на гитаре , кто-то на пианино , а в Италии есть профессионалы , которые могут сыграть песню « O sole mio » на сыре пармезан .;Ошибка: слушателя. Нужно использовать: именительный падеж. Правильно: Слушатель;NOUN;Sing
Кто не любит этим вкусный сыр !;Ошибка: этим. Нужно использовать: винительный падеж. Правильно: этот;PRON;Sing
На фабрики , где делают пармезан , работают люди , у которых есть музыкальное образование и абсолютный слух .;Ошибка: фабрики. Нужно использовать: предложный падеж. Правильно: фабриках;NOUN;Plur
1 ) ольгу сказала : « Антон , я видела у тебя альбом Исаака Левитана .;Ошибка: ольгу. Нужно использовать: именительный падеж. Правильно: Ольга;NOUN;Sing
Дай мне , пожалуйста , посмотреть этим альбом » .;Ошибка: этим. Нужно использовать: винительный падеж. Правильно: этот;PRON;Sing
2 ) нину Ивановна сказала нам : « На следующем занятии мы будем изучать новые глаголы движения .;Ошибка: нину. Нужно использовать: именительный падеж. Правильно: Нина;NOUN;Sing
Повторите , пожалуйста , всё , что вы уже знаете о глаголы движения » .;Ошибка: глаголы. Нужно использовать: предложный падеж. Правильно: глаголах;NOUN;Plur
3 ) врача сказал Сергею : « Вам надо больше гулять » .;Ошибка: врача. Нужно использовать: именительный падеж. Правильно: Врач;NOUN;Sing
сергея сказал врачу : « У меня много работы и совсем нет свободного времени » .;Ошибка: сергея. Нужно использовать: именительный падеж. Правильно: Сергей;NOUN;Sing
врача сказал : « Ходите пешком на работу и с работы » .;Ошибка: врача. Нужно использовать: именительный падеж. Правильно: Врач;NOUN;Sing
родителей Васи всегда говорили ему в детстве : « Делай домашнее задание днём , а не вечером .;Ошибка: родителей. Нужно использовать: именительный падеж. Правильно: Родители;NOUN;Plur
Ешь супу и не ешь бутерброды .;Ошибка: супу. Нужно использовать: именительный падеж. Правильно: суп;NOUN;Sing
Пей соком и не пей колу .;Ошибка: соком. Нужно использовать: винительный падеж. Правильно: сок;NOUN;Sing
Не рисуй на стену , а рисуй на бумаге » .;Ошибка: стену. Нужно использовать: предложный падеж. Правильно: стене;NOUN;Sing
художников или хулиганы ?;Ошибка: художников. Нужно использовать: именительный падеж. Правильно: Художники;NOUN;Plur
Это уличного художник , который путешествует по миру и рисует граффити на стенах домов .;Ошибка: уличного. Нужно использовать: именительный падеж. Правильно: уличный;ADJ;Sing
Бэнкси рисует не просто картину , портреты или пейзажи , он показывает самые актуальные проблемы современного мира : проблемы войны , экологии , экономики .;Ошибка: картину. Нужно использовать: винительный падеж. Правильно: картины;NOUN;Plur
героев Бэнкси — мы с вами .;Ошибка: героев. Нужно использовать: именительный падеж. Правильно: Герои;NOUN;Plur
Сегодня работу этого уличного художника знают во всём мире .;Ошибка: работу. Нужно использовать: именительный падеж. Правильно: работы;NOUN;Plur
Но интересно , что никто не знает , кто же такую на самом деле Бэнкси .;Ошибка: такую. Нужно использовать: именительный падеж. Правильно: такой;PRON;Sing
Это человека-легенду .;Ошибка: человека-легенду. Нужно использовать: именительный падеж. Правильно: человек-легенда;NOUN;Sing
Говорят , что он родился в 1974 год в английском городе Бристоле .;Ошибка: год. Нужно использовать: предложный падеж. Правильно: году;NOUN;Sing
Говорят , что он ещё музыканта и режиссёр .;Ошибка: музыканта. Нужно использовать: именительный падеж. Правильно: музыкант;NOUN;Sing
Но никто не видел его лицо , никто не знает настоящего имени и фамилии этого человека .;Ошибка: лицо. Нужно использовать: родительный падеж. Правильно: лица;NOUN;Plur
уличных художники часто берут псевдонимы , чтобы полиция не могла найти их .;Ошибка: уличных. Нужно использовать: именительный падеж. Правильно: Уличные;ADJ;Plur
Ведь обычно они рисуют на стены без разрешения , а это уже не искусство , а хулиганство .;Ошибка: стены. Нужно использовать: предложный падеж. Правильно: стенах;NOUN;Plur
У никиту , уличного художника из России , из Нижнего Новгорода , тоже есть псевдоним .;Ошибка: никиту. Нужно использовать: родительный падеж. Правильно: Никиты;NOUN;Plur
Вместо свою настоящей фамилии он пишет Nomerz .;Ошибка: свою. Нужно использовать: родительный падеж. Правильно: своей;PRON;Sing
никиту учился в архитектурно-строительном университете в своём родном городе — Нижнем Новгороде , потом работал художником .;Ошибка: никиту. Нужно использовать: именительный падеж. Правильно: Никита;NOUN;Sing
Заниматься граффити он начал в 2005 году , сначала вместе с другом , а потом самостоятельно .;Ошибка: граффити. Нужно использовать: винительный падеж. Правильно: граффити;NOUN;Sing
никиту Nomerz тоже рисует на стенах домов и на заброшенных зданиях .;Ошибка: никиту. Нужно использовать: именительный падеж. Правильно: Никита;NOUN;Sing
В работы Никиты нет политики или войны .;Ошибка: работы. Нужно использовать: предложный падеж. Правильно: работах;NOUN;Plur
никиту говорит , что мир надо делать лучше .;Ошибка: никиту. Нужно использовать: именительный падеж. Правильно: Никита;NOUN;Sing
Поэтому он рисует на некрасивых старых зданиях , чтобы они стали лучше и красивее .;Ошибка: некрасивых. Нужно использовать: предложный падеж. Правильно: некрасивых;ADJ;Plur
никиту — автор проекта « Живые стены » .;Ошибка: никиту. Нужно использовать: именительный падеж. Правильно: Никита;NOUN;Sing
Ему нравится находить в город интересные места .;Ошибка: город. Нужно использовать: предложный падеж. Правильно: городе;NOUN;Sing
героев Никиты — здания , которые получают новое лицо и смотрят на нас , как живые .;Ошибка: героев. Нужно использовать: именительный падеж. Правильно: Герои;NOUN;Plur
два проекта Никиты , « Дантист » и « Большой брат » , — в сотне лучших мировых работ .;Ошибка: два. Нужно использовать: именительный падеж. Правильно: Два;NUM;N/A
А вот его работу , которая называется « Три богатыря » .;Ошибка: работу. Нужно использовать: именительный падеж. Правильно: работа;NOUN;Sing
богатырей — это герои русского фольклора .;Ошибка: богатырей. Нужно использовать: именительный падеж. Правильно: Богатыри;NOUN;Plur
Вот так видит их никиту .;Ошибка: никиту. Нужно использовать: именительный падеж. Правильно: Никита;NOUN;Sing
А вот так их видел знаменитого русский художник Виктор Михайлович Васнецов .;Ошибка: знаменитого. Нужно использовать: именительный падеж. Правильно: знаменитый;ADJ;Sing
Его картину « Богатыри » находится в Москве , в Третьяковской галерее.Чьи богатыри — Никиты или Васнецова — нравятся вам больше ?;Ошибка: картину. Нужно использовать: именительный падеж. Правильно: картина;NOUN;Sing
работу Никиты можно найти в разных городах России , Европы и Азии .;Ошибка: работу. Нужно использовать: именительный падеж. Правильно: Работы;NOUN;Plur
Посмотрите картой .;Ошибка: картой. Нужно использовать: винительный падеж. Правильно: карту;NOUN;Sing
Может быть , в вашу стране или в вашем городе есть его граффити .;Ошибка: вашу. Нужно использовать: предложный падеж. Правильно: вашей;PRON;Sing
А может быть , вы захотите , чтобы никиту сделал дом , в котором вы живёте , лучше и красивее ?;Ошибка: никиту. Нужно использовать: именительный падеж. Правильно: Никита;NOUN;Sing
все привет !;Ошибка: все. Нужно использовать: дательный падеж. Правильно: Всем;PRON;Plur
Сегодня я был в визового центре , отдал документы , чтобы получить визу в Россию .;Ошибка: визового. Нужно использовать: предложный падеж. Правильно: визовом;NOUN;Sing
- И как долго нужно ждать визой ?;Ошибка: визой. Нужно использовать: винительный падеж. Правильно: визу;NOUN;Sing
Когда ты она получишь ?;Ошибка: она. Нужно использовать: винительный падеж. Правильно: её;PRON;Sing
- Сказали , надо ждать пятью рабочих дней .;Ошибка: пятью. Нужно использовать: винительный падеж. Правильно: пять;NUM;N/A
Надеюсь , что осень я буду свободнее и смогу опять увидеть Петербург , Москву и , может быть , другие интересные места .;Ошибка: осень. Нужно использовать: творительный падеж. Правильно: осенью;NOUN;Sing
- доброго день !;Ошибка: доброго. Нужно использовать: именительный падеж. Правильно: Добрый;ADJ;Sing
Как ваши дела ?;Ошибка: ваши. Нужно использовать: именительный падеж. Правильно: ваши;PRON;Plur
какими новости ?;Ошибка: какими. Нужно использовать: именительный падеж. Правильно: Какие;PRON;Plur
- новости отличные !;Ошибка: новости. Нужно использовать: именительный падеж. Правильно: Новости;NOUN;Plur
клауса говорит , что у него скоро будет российская виза .;Ошибка: клауса. Нужно использовать: именительный падеж. Правильно: Клаус;PRON;Sing
- Действительно отличную новость !;Ошибка: отличную. Нужно использовать: именительный падеж. Правильно: отличная;ADJ;Sing
Извините за опоздания .;Ошибка: опоздания. Нужно использовать: винительный падеж. Правильно: опоздание;NOUN;Sing
Я попал в пробкой .;Ошибка: пробкой. Нужно использовать: винительный падеж. Правильно: пробку;NOUN;Sing
Ездил покупать нового чемодан .;Ошибка: нового. Нужно использовать: винительный падеж. Правильно: новый;ADJ;Sing
два больших чемодана .;Ошибка: два. Нужно использовать: именительный падеж. Правильно: Два;NUM;N/A
В мир существует примерно 6000 языков .;Ошибка: мир. Нужно использовать: предложный падеж. Правильно: мире;NOUN;Sing
лингвистов точно не могут сказать , сколько , потому что очень трудно понять , где язык , а где диалект .;Ошибка: лингвистов. Нужно использовать: именительный падеж. Правильно: Лингвисты;NOUN;Plur
К сожаление , нельзя точно сказать , сколько в мире сейчас языков , ещё и потому , что каждый день умирает один язык .;Ошибка: сожаление. Нужно использовать: дательный падеж. Правильно: сожалению;NOUN;Sing
Как сохранить языками ?;Ошибка: языками. Нужно использовать: винительный падеж. Правильно: языки;NOUN;Plur
Как сохранить языками , которые исчезают ?;Ошибка: языками. Нужно использовать: винительный падеж. Правильно: языки;NOUN;Plur
учёных решили , что сделать это поможет искусственный интеллект .;Ошибка: учёных. Нужно использовать: именительный падеж. Правильно: Учёные;ADJ;Plur
В россию сейчас работают три чат-бота , которые разговаривают на редких языках .;Ошибка: россию. Нужно использовать: предложный падеж. Правильно: России;NOUN;Sing
Это удивительную программа , её открыл самый большой банк России — Сбербанк .;Ошибка: удивительную. Нужно использовать: именительный падеж. Правильно: удивительная;ADJ;Sing
искусственного интеллект уже выучил 3 языка — нганасанский , ульчский и ичжорский .;Ошибка: искусственного. Нужно использовать: именительный падеж. Правильно: Искусственный;ADJ;Sing
На эти языках говорят 125 , 154 и 123 человека .;Ошибка: эти. Нужно использовать: предложный падеж. Правильно: этих;PRON;Plur
Но все , кто хочет , могут учить их в игровую форме в чат-боте на сайте проекта .;Ошибка: игровую. Нужно использовать: предложный падеж. Правильно: игровой;ADJ;Sing
На нганасанского языке говорят на полуострове Таймыр , который находится в Красноярском крае .;Ошибка: нганасанского. Нужно использовать: предложный падеж. Правильно: нганасанском;NOUN;Sing
На ульчского языке говорят в Хабаровском крае .;Ошибка: ульчского. Нужно использовать: предложный падеж. Правильно: ульчском;NOUN;Sing
На ичжорского языке говорят люди , которые живут на Финском заливе в Ленинградской области .;Ошибка: ичжорского. Нужно использовать: предложный падеж. Правильно: ичжорском;NOUN;Sing
В россию почти 100 редких языков , которые могут исчезнуть .;Ошибка: россию. Нужно использовать: предложный падеж. Правильно: России;NOUN;Sing
Поэтому сбербанку планирует , что искусственный интеллект будет учить и другие редкие языки , чтобы сохранить их на земле .;Ошибка: сбербанку. Нужно использовать: именительный падеж. Правильно: Сбербанк;NOUN;Sing
Например , кетском язык .;Ошибка: кетском. Нужно использовать: именительный падеж. Правильно: кетский;ADJ;Sing
Это единственного живой язык в енисейской семье языков .;Ошибка: единственного. Нужно использовать: именительный падеж. Правильно: единственный;ADJ;Sing
На нём говорят сегодня 213 человека .;Ошибка: человека. Нужно использовать: родительный падеж. Правильно: человек;NOUN;Sing
енисей — это большая и очень красивая река в Сибири , одна из самых длинных рек в России и в мире .;Ошибка: енисей. Нужно использовать: именительный падеж. Правильно: Енисей;NOUN;Sing
ей длина три с половиной ( 3,5 ) тысячи километров .;Ошибка: ей. Нужно использовать: именительный падеж. Правильно: Её;NOUN;Sing
реку Енисей — природная граница Западной и Восточной Сибири .;Ошибка: реку. Нужно использовать: именительный падеж. Правильно: Река;NOUN;Sing
Она начинается в республику Тыва на юге России и заканчивается в Карском море на севере .;Ошибка: республику. Нужно использовать: предложный падеж. Правильно: Республике;NOUN;Sing
"Спросите друга , нравится ли ему балет П. И. Чайковского « Лебединое озеро » ; любит ли он гулять вечером в парке ; работает ли он завтра ; поедет ли он отдыхать на море ; хочет ли он пойти с вами в кино ; встретит ли он вас на вокзале ; прочитал ли он новый рассказ ; позвонил ли он родителям .";Ошибка: друга. Нужно использовать: винительный падеж. Правильно: друга;PRON;N/A
Должен ли изменяться языком ?;Ошибка: языком. Нужно использовать: именительный падеж. Правильно: язык;NOUN;Sing
учёных много говорят об этом .;Ошибка: учёных. Нужно использовать: именительный падеж. Правильно: Учёные;ADJ;Plur
Конечно , должен : изменяется жизнью , и поэтому изменяется язык .;Ошибка: жизнью. Нужно использовать: именительный падеж. Правильно: жизнь;NOUN;Sing
Появляются новых вещи , их нужно называть .;Ошибка: новых. Нужно использовать: именительный падеж. Правильно: новые;ADJ;Plur
И языком должен решать эту задачу .;Ошибка: языком. Нужно использовать: именительный падеж. Правильно: язык;NOUN;Sing
Если в язык нет слова , чтобы назвать что-то новое , он берёт это название в другом языке .;Ошибка: язык. Нужно использовать: предложный падеж. Правильно: языке;NOUN;Sing
Так в русского язык пришли слова радио , аппарат , метро , пальто , кофе , театр , кино , шарф и много других слов .;Ошибка: русского. Нужно использовать: винительный падеж. Правильно: русский;ADJ;Sing
Сейчас мы даже не помним , что это не русских слова , а используем их каждый день как свои .;Ошибка: русских. Нужно использовать: именительный падеж. Правильно: русские;NOUN;Plur
Несколько годы назад на Полярной конференции говорили о том , что климат на земле изменяется , становится теплее , и в тундре появляются новые животные .;Ошибка: годы. Нужно использовать: родительный падеж. Правильно: лет;NOUN;Plur
Но в эскимосского языке нет названий этих животных .;Ошибка: эскимосского. Нужно использовать: предложный падеж. Правильно: эскимосском;NOUN;Sing
охотников встречают новых животных , но не могут о них рассказать .;Ошибка: охотников. Нужно использовать: именительный падеж. Правильно: Охотники;NOUN;Plur
В язык эскимосов есть 1200 слов , которые называют разных оленей , но нет слова « лось » .;Ошибка: язык. Нужно использовать: предложный падеж. Правильно: языке;NOUN;Sing
Если мира изменяется , но не изменяется язык , язык не может решать свою основную задачу — передавать информацию .;Ошибка: мира. Нужно использовать: именительный падеж. Правильно: мир;NOUN;Sing
Однажды в одной из школ города Таллина приехал иностранный профессор , который знал много разных языков .;Ошибка: одной. Нужно использовать: винительный падеж. Правильно: одну;NUM;Sing
Он разговаривал со школьников по-русски , потом начал говорить по-английски , по-французски , по-немецки .;Ошибка: школьников. Нужно использовать: творительный падеж. Правильно: школьниками;NOUN;Plur
одному ученик ответил на все его вопросы .;Ошибка: одному. Нужно использовать: именительный падеж. Правильно: Один;NUM;Sing
Тогда иностранца задал ему вопросы ещё на нескольких языках — малыш тоже ответил .;Ошибка: иностранца. Нужно использовать: именительный падеж. Правильно: иностранец;NOUN;Sing
профессора сказал , что этот мальчик — феномен .;Ошибка: профессора. Нужно использовать: именительный падеж. Правильно: Профессор;NOUN;Sing
Он учил языками , чтобы больше знать .;Ошибка: языками. Нужно использовать: винительный падеж. Правильно: языки;NOUN;Plur
языком — его ключ , который может открыть дверь в литературу и культуру другого народа .;Ошибка: языком. Нужно использовать: именительный падеж. Правильно: Язык;NOUN;Sing
родную язык Рейна — эстонский .;Ошибка: родную. Нужно использовать: именительный падеж. Правильно: Родной;ADJ;Sing
В школу он учил английский и русский языки , а другие языки он изучал самостоятельно .;Ошибка: школу. Нужно использовать: предложный падеж. Правильно: школе;NOUN;Sing
Как он учил языками ?;Ошибка: языками. Нужно использовать: винительный падеж. Правильно: языки;NOUN;Plur
Он ходил по город , как на экскурсии , и рассказывал себе историю города на языке , который изучал .;Ошибка: город. Нужно использовать: дательный падеж. Правильно: городу;NOUN;Sing
Он любил разговаривать с те , кто знает языки , любил показывать свой родной город туристам .;Ошибка: те. Нужно использовать: творительный падеж. Правильно: теми;PRON;Plur
В шестнадцать лет Рейн самостоятельно написал учебник эстонского языка .;Ошибка: шестнадцать. Нужно использовать: винительный падеж. Правильно: шестнадцать;NUM;N/A
рейна очень любил литературу , он читал стихи на разных языках и переводил их на родной язык .;Ошибка: рейна. Нужно использовать: именительный падеж. Правильно: Рейн;NOUN;Sing
Он видел красотой в каждом языке , который изучал .;Ошибка: красотой. Нужно использовать: винительный падеж. Правильно: красоту;NOUN;Sing
Когда рейн было 17 лет , он поступил в Ленинградский университет , где изучал языки народов Востока .;Ошибка: рейн. Нужно использовать: дательный падеж. Правильно: Рейну;NOUN;Sing
Сейчас рейн Рауд уже известный эстонский писатель — автор романов , рассказов и стихов , профессор японского языка и культуры .;Ошибка: рейн. Нужно использовать: именительный падеж. Правильно: Рейн;NOUN;Sing
Он полиглота , знает 30 языков .;Ошибка: полиглота. Нужно использовать: именительный падеж. Правильно: полиглот;NOUN;Sing
Работает в таллинского и Берлинском университетах .;Ошибка: таллинского. Нужно использовать: предложный падеж. Правильно: Таллинском;NOUN;Sing
— клауса , нам очень интересно , как ты провёл время в России .;Ошибка: клауса. Нужно использовать: именительный падеж. Правильно: Клаус;NOUN;Sing
— друзей , у меня было очень мало времени , только две недели .;Ошибка: друзей. Нужно использовать: именительный падеж. Правильно: Друзья;NOUN;Plur
А россию такая большая !;Ошибка: россию. Нужно использовать: именительный падеж. Правильно: Россия;NOUN;Sing
Но я ещё в вену выбрал интересный тур на Алтай .;Ошибка: вену. Нужно использовать: предложный падеж. Правильно: Вене;NOUN;Sing
Это очень интересного горный край на юге Западной Сибири .;Ошибка: интересного. Нужно использовать: именительный падеж. Правильно: интересный;ADJ;Sing
Там огромными леса , озёра и быстрые горные реки .;Ошибка: огромными. Нужно использовать: именительный падеж. Правильно: огромные;ADJ;Plur
Я много слышал об эти удивительных местах и давно мечтал побывать там .;Ошибка: эти. Нужно использовать: предложный падеж. Правильно: этих;PRON;Plur
Вы , может быть , знаете известного русского писателя , режиссёра и актёра Василия Шукшина ?;Ошибка: известного. Нужно использовать: родительный падеж. Правильно: известного;ADJ;Sing
Он родился и вырос в небольшую деревне на Алтае .;Ошибка: небольшую. Нужно использовать: предложный падеж. Правильно: небольшой;ADJ;Sing
Я читал по-немецки его смешными и грустные , серьёзные и весёлые рассказы о жизни в далёкой алтайской деревне .;Ошибка: смешными. Нужно использовать: именительный падеж. Правильно: смешные;ADJ;Plur
Вот как началась нашу поездка .;Ошибка: нашу. Нужно использовать: именительный падеж. Правильно: наша;PRON;Sing
Сначала из вену мы прилетели в Москву , а потом из Москвы полетели в сибирский город Горно-Алтайск .;Ошибка: вену. Нужно использовать: родительный падеж. Правильно: Вены;NOUN;Plur
Оттуда на машину мы поехали в Белокуриху , на горнолыжный курорт .;Ошибка: машину. Нужно использовать: предложный падеж. Правильно: машине;NOUN;Sing
Он находится высоко в горы .;Ошибка: горы. Нужно использовать: предложный падеж. Правильно: горах;NOUN;Plur
высоту самой большой горы там — 4200 метров .;Ошибка: высоту. Нужно использовать: именительный падеж. Правильно: Высота;NOUN;Sing
Потом мы увидели известного село Манжерок , которое стоит на берегу реки Катуни .;Ошибка: известного. Нужно использовать: винительный падеж. Правильно: известное;ADJ;Sing
катуни — небольшая , но очень быстрая горная река .;Ошибка: катуни. Нужно использовать: именительный падеж. Правильно: Катунь;NOUN;Sing
Это прекрасное место для рафтинга .;Ошибка: прекрасное. Нужно использовать: именительный падеж. Правильно: прекрасное;ADJ;Sing
Здесь нам рассказали старой легенду о том , что Катунь — это дочь хана Алтая .;Ошибка: старой. Нужно использовать: винительный падеж. Правильно: старую;ADJ;Sing
У неё был любимого , которого звали Бий .;Ошибка: любимого. Нужно использовать: именительный падеж. Правильно: любимый;ADJ;Sing
катуня убежала от своего отца , чтобы быть вместе с Бием .;Ошибка: катуня. Нужно использовать: именительный падеж. Правильно: Катунь;NOUN;Sing
Они встретились , и так в сибирь появилась новая река — Обь .;Ошибка: сибирь. Нужно использовать: предложный падеж. Правильно: Сибири;NOUN;Sing
Она течёт через всей Сибирь и на севере впадает в море .;Ошибка: всей. Нужно использовать: винительный падеж. Правильно: всю;PRON;Sing
Все сибирских реки текут с юга на север .;Ошибка: сибирских. Нужно использовать: именительный падеж. Правильно: сибирские;ADJ;Plur
В 1966 год в Манжероке был международный фестиваль .;Ошибка: год. Нужно использовать: предложный падеж. Правильно: году;NOUN;Sing
После этого фестиваль вся страна вместе с певицей Эдитой Пьехой пела вот такую песню .;Ошибка: фестиваль. Нужно использовать: родительный падеж. Правильно: фестиваля;NOUN;Sing
Потом мы ездили на телецком озеро — это настоящий туристический центр на Алтае .;Ошибка: телецком. Нужно использовать: винительный падеж. Правильно: Телецкое;ADJ;Sing
Это удивительно красивого и глубокое озеро .;Ошибка: красивого. Нужно использовать: именительный падеж. Правильно: красивое;ADJ;Sing
Его глубину — 325 метров .;Ошибка: глубину. Нужно использовать: именительный падеж. Правильно: глубина;NOUN;Sing
Оно даже входит в списком ЮНЕСКО .;Ошибка: списком. Нужно использовать: винительный падеж. Правильно: список;NOUN;Sing
местных жители называют это озеро Алтын-кёль , на алтайском языке это значит « Золотое озеро » .;Ошибка: местных. Нужно использовать: именительный падеж. Правильно: Местные;ADJ;Plur
На телецкого озере мы жили несколько дней .;Ошибка: телецкого. Нужно использовать: предложный падеж. Правильно: Телецком;NOUN;Sing
Рядом с нами жила семью из Москвы : Леонид , Вера и их дочка Катя .;Ошибка: семью. Нужно использовать: именительный падеж. Правильно: семья;NOUN;Sing
Они очень весёлых и спортивные .;Ошибка: весёлых. Нужно использовать: именительный падеж. Правильно: весёлые;ADJ;Plur
кат 12 лет , и она мечтает стать биологом , как я. Ей очень нравятся змеи и черепахи .;Ошибка: кат. Нужно использовать: дательный падеж. Правильно: Кате;NOUN;Sing
веру хорошо знает немецкий и английский языки , но мы говорили только по-русски .;Ошибка: веру. Нужно использовать: именительный падеж. Правильно: Вера;NOUN;Sing
Они рассказывали мне , что в москву часто ездят на велосипедах .;Ошибка: москву. Нужно использовать: предложный падеж. Правильно: Москве;NOUN;Sing
велосипедом можно взять на любой велостоянке в Москве .;Ошибка: велосипедом. Нужно использовать: винительный падеж. Правильно: Велосипед;NOUN;Sing
Для велосипедистов есть удобные велодорожки .;Ошибка: велосипедистов. Нужно использовать: родительный падеж. Правильно: велосипедистов;NOUN;Plur
А ещё леонида любит дайвинг , а Катя с мамой горные лыжи .;Ошибка: леонида. Нужно использовать: именительный падеж. Правильно: Леонид;NOUN;Sing
А все вместе — прогулку и экскурсии .;Ошибка: прогулку. Нужно использовать: именительный падеж. Правильно: прогулки;NOUN;Plur
Недавно они вернулись с очень интересную экскурсии , они плавали на теплоходе .;Ошибка: интересную. Нужно использовать: родительный падеж. Правильно: интересной;ADJ;Sing
Как я уже говорил , моим новые друзья рассказали мне об очень интересной экскурсии , на которой они были в июне .;Ошибка: моим. Нужно использовать: именительный падеж. Правильно: мои;PRON;Plur
Это остров на Ладожском и Онежском озёрах и город Петрозаводск .;Ошибка: остров. Нужно использовать: именительный падеж. Правильно: острова;NOUN;Plur
экскурсию началась в Петербурге .;Ошибка: экскурсию. Нужно использовать: именительный падеж. Правильно: Экскурсия;NOUN;Sing
Они сели на теплоход и поплыли по реке Неве на Ладожское озере .;Ошибка: озере. Нужно использовать: винительный падеж. Правильно: озеро;NOUN;Sing
Это очень большое озеро , второе после Байкал .;Ошибка: Байкал. Нужно использовать: родительный падеж. Правильно: Байкала;NOUN;Sing
Его площади 17870 квадратных километров , а глубина 230 метров .;Ошибка: площади. Нужно использовать: именительный падеж. Правильно: площадь;NOUN;Sing
Но до известный острова Валаам они плыли только 10 часов .;Ошибка: известный. Нужно использовать: родительный падеж. Правильно: известного;ADJ;Sing
